銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"極洋","1301","東証","○","-","-","300","03/26","有","0.00","2,807","-18","-0.28 %","-","92","13,400","-2.93 %","貸借","0.00"
"ダイワ投信－トピックス","1305","東証","○","-","-","3,060","-","無","0.00","1,635","-5","-0.12 %","-","68","261,480","-0.96 %","貸借","0.50"
"ＴＯＰＩＸ連動型投信","1306","東証","○","-","-","14,120","-","無","0.00","1,612","-7","-0.24 %","-","1,134","929,380","-1.10 %","貸借","0.00"
"インデックスＦＴＯＰＩＸ","1308","東証","○","-","-","1,000","-","無","0.00","1,596","-6","-0.18 %","-","83","63,400","-0.99 %","貸借","0.05"
"ＮＦＣＨＩＮＡＡＭＣ上証","1309","東証","○","-","-","7","-","無","0.00","32,350","-400","-1.22 %","-","81","537","-2.99 %","貸借","5.00"
"ＴＯＰＩＸＣＯＲＥ３０連動","1311","東証","○","-","-","60","-","無","0.00","724","-1","-0.13 %","-","13","4,370","-1.22 %","貸借","0.00"
"ダイワ投信－日経２２５","1320","東証","○","-","-","149","-","無","0.00","21,980","-110","-0.27 %","-","179","7,558","-1.47 %","貸借","5.00"
"日経２２５連動投信","1321","東証","○","-","-","1,857","-","無","0.00","22,000","-110","-0.45 %","-","747","172,320","-1.47 %","貸借","0.00"
"中国Ａ株（パンダ）","1322","東証","○","-","-","20","-","無","0.00","5,120","-50","-1.34 %","-","27","1,560","-2.29 %","貸借","0.00"
"ＮＥＸＴＦ南アフリカ","1323","東証","○","-","-","1,400","-","無","0.00","368","8","0.00 %","-","1","100","0.00 %","貸借","0.00"
"ＮＥＸＴＦロシア","1324","東証","○","-","-","500","-","無","0.00","139","0","-0.71 %","-","23","48,600","-0.71 %","貸借","0.00"
"ＮＥＸＴＦブラジル","1325","東証","○","-","-","200","-","無","0.00","216","-2","0.00 %","-","12","7,000","-0.91 %","貸借","0.00"
"金連動投信","1328","東証","○","-","-","310","-","無","0.00","4,040","120","2.02 %","-","354","30,940","-1.82 %","貸借","0.00"
"ｉシェアーズ・コア２２５","1329","東証","○","-","-","234","-","無","0.00","21,930","-110","-0.22 %","-","105","23,326","-1.52 %","貸借","0.00"
"インデックスファンド２２５","1330","東証","○","-","-","540","-","無","0.00","22,070","-140","-0.36 %","-","281","41,990","-1.51 %","貸借","0.50"
"日本水産","1332","東証","○","-","○","16,400","03/26","有","0.00","681","-9","-1.73 %","-","1,576","1,791,200","-2.29 %","貸借","0.00"
"マルハニチロ","1333","東証","○","-","○","5,900","03/26","有","0.00","3,160","0","0.00 %","-","609","223,500","-1.40 %","貸借","0.00"
"ＲＥＩＴ－ＥＴＦ","1343","東証","○","-","-","1,640","-","無","0.00","2,083","14","0.67 %","-","253","145,130","-0.14 %","貸借","0.50"
"ＭＸＳコア３０","1344","東証","○","-","-","10","-","無","0.00","692","-2","-0.28 %","-","5","320","-0.57 %","貸借","0.00"
"上場Ｊリート","1345","東証","○","-","○","12,300","-","無","0.00","1,975","12","0.76 %","-","207","34,900","-0.10 %","貸借","0.05"
"ＭＸＳ２２５","1346","東証","○","-","-","288","-","無","0.00","21,910","-100","-0.31 %","-","333","9,791","-1.52 %","貸借","5.00"
"ＭＡＸＩＳトピックスＥＴＦ","1348","東証","○","-","-","870","-","無","0.00","1,599","-6","-0.24 %","-","139","86,210","-1.11 %","貸借","0.50"
"ホウスイ","1352","東証","○","-","-","0","-","無","0.60","840","-10","-0.35 %","-","3","700","-2.21 %","信用","0.00"
"ＴＯＰＩＸベア２倍ＥＴＦ","1356","東証","○","-","-","1,950","-","無","0.00","2,632","18","0.34 %","-","895","194,750","-0.34 %","貸借","0.00"
"日経ダブルインバース","1357","東証","○","-","-","177,933","-","無","0.00","1,171","12","0.42 %","-","3,979","16,605,112","-0.59 %","貸借","0.00"
"上場日経２倍","1358","東証","○","-","-","153","-","無","0.00","16,830","-170","-0.59 %","-","235","6,400","-2.99 %","貸借","0.00"
"日経平均ベア２倍","1360","東証","○","-","-","9,080","-","無","0.00","2,806","26","0.46 %","-","1,590","724,630","-0.67 %","貸借","0.00"
"ＩＳＪＰＸ日経４００","1364","東証","○","-","-","1","-","無","0.00","14,100","-30","0.00 %","-","1","1","-0.70 %","貸借","5.00"
"大和２２５ダブル","1365","東証","○","-","-","379","-","無","0.00","13,620","-150","-0.58 %","-","354","35,476","-2.99 %","貸借","0.00"
"大和２２５ダブルベア","1366","東証","○","-","-","1,204","-","無","0.00","3,050","30","0.32 %","-","338","120,360","-0.81 %","貸借","0.00"
"大和ＴＰＸダブル","1367","東証","○","-","-","42","-","無","0.00","11,600","-90","-0.51 %","-","215","3,078","-2.27 %","貸借","0.00"
"大和ＴＰＸダブルベア","1368","東証","○","-","-","249","-","無","0.00","3,840","30","0.52 %","-","149","26,866","-0.38 %","貸借","0.00"
"ＯＮＥＥＴＦ日経２２５","1369","東証","○","-","-","11","-","無","0.00","21,350","-140","-0.74 %","-","7","1,095","-1.38 %","貸借","0.00"
"カネコ種苗","1376","東証","○","-","-","100","-","無","1.00","1,320","3","-0.30 %","-","16","4,000","-0.67 %","信用","0.00"
"サカタのタネ","1377","東証","○","-","○","6,700","05/26","有","0.00","3,200","-50","-0.92 %","-","526","134,000","-2.88 %","貸借","0.00"
"ホクト","1379","東証","○","-","○","5,200","03/26","有","0.00","1,836","12","0.43 %","-","236","38,900","-0.37 %","貸借","0.00"
"秋川牧園","1380","東証","○","-","-","100","03/26","有","1.90","817","5","0.86 %","-","18","4,000","-2.73 %","信用","0.00"
"アクシーズ","1381","東証","○","-","-","0","06/25","有","5.00","2,545","-21","-0.58 %","-","27","7,900","-1.12 %","信用","0.00"
"ホーブ","1382","東証","○","-","-","0","-","無","1.80","836","15","0.00 %","-","1","100","0.00 %","信用","0.00"
"ベルグアース","1383","東証","○","-","-","100","04/24","有","2.40","2,056","-23","0.83 %","-","11","1,500","-2.28 %","信用","0.00"
"ホクリヨウ","1384","東証","○","-","-","100","03/26","有","0.80","598","3","-0.49 %","-","26","3,800","-0.49 %","信用","0.00"
"ＳＭＡＭ東証ＲＥＩＴ指数","1398","東証","○","-","-","30","-","無","0.00","1,975","11","0.35 %","-","15","3,080","-0.15 %","貸借","0.50"
"上場高配当低ボラ","1399","東証","○","-","-","330","-","無","0.00","1,444","-8","-1.02 %","-","5","120","-1.63 %","貸借","0.00"
"ルーデン・ホールディングス","1400","東証","○","-","-","600","-","無","3.30","409","5","2.25 %","-","130","49,200","-4.43 %","信用","0.00"
"エムビーエス","1401","東証","○","-","-","200","-","無","3.20","926","19","-0.85 %","-","23","6,600","-0.85 %","信用","0.00"
"ウエストホールディングス","1407","東証","○","-","-","2,400","-","無","0.00","1,134","-51","-3.89 %","-","648","220,000","-5.89 %","貸借","0.00"
"ヒノキヤグループ","1413","東証","○","-","-","0","-","無","1.90","2,144","-31","-0.78 %","-","53","9,200","-3.42 %","信用","0.00"
"ショーボンドＨＤ","1414","東証","○","-","-","0","-","無","0.00","7,650","-60","-0.77 %","-","184","39,300","-2.29 %","貸借","0.00"
"ミライト・ホールディングス","1417","東証","○","-","-","300","03/26","有","0.00","1,618","-8","-0.36 %","-","1,079","238,400","-3.34 %","貸借","0.00"
"インターライフホールディング","1418","東証","○","-","-","100","08/27","有","0.00","216","0","0.46 %","-","14","3,100","0.00 %","貸借","0.00"
"タマホーム","1419","東証","○","-","-","1,800","11/26","有","0.00","1,072","-20","-1.65 %","-","488","137,500","-2.98 %","貸借","0.00"
"サンヨーホームズ","1420","東証","○","-","-","200","03/26","有","0.00","651","4","-2.39 %","-","59","15,700","-2.39 %","貸借","0.00"
"日本アクア","1429","東証","○","-","-","4,400","-","無","0.00","598","13","3.10 %","-","1,113","439,800","-1.48 %","貸借","0.00"
"ファーストコーポレーション","1430","東証","○","-","-","800","11/26","有","0.00","753","-2","-0.13 %","-","227","79,400","-1.95 %","貸借","0.00"
"ベステラ","1433","東証","○","-","-","100","01/28","有","0.00","1,271","-6","-0.70 %","-","39","5,900","-2.15 %","貸借","0.00"
"ＪＥＳＣＯホールディングス","1434","東証","○","-","-","1,200","08/27","有","0.00","431","-16","-4.00 %","-","284","93,300","-7.90 %","貸借","0.00"
"ＴＡＴＥＲＵ","1435","東証","○","-","-","29,100","-","無","0.80","176","5","2.92 %","-","735","1,207,900","-4.86 %","信用","0.00"
"フィット","1436","東証","○","-","-","200","-","無","1.70","524","-18","0.00 %","-","22","6,100","-4.20 %","信用","0.00"
"安江工務店","1439","東証","○","-","-","100","-","無","2.20","1,038","19","1.86 %","-","4","700","0.00 %","信用","0.00"
"技研ホールディングス","1443","東証","○","-","-","2,900","-","無","0.90","226","2","1.80 %","-","881","607,400","-6.99 %","信用","0.00"
"キャンディル","1446","東証","○","-","-","1,600","09/25","有","3.00","1,461","43","2.59 %","-","309","61,800","-0.61 %","信用","0.00"
"ＩＴＢＯＯＫホールディングス","1447","東証","○","-","-","2,100","-","無","2.10","309","-10","-3.13 %","-","153","65,300","-4.92 %","信用","0.00"
"スペースバリューＨＤ","1448","東証","○","-","-","2,500","03/26","有","0.00","497","-5","-1.19 %","-","413","225,100","-3.30 %","貸借","0.00"
"田中建設工業","1450","東証","○","-","-","0","-","無","5.10","2,558","0","-0.03 %","-","5","1,100","-0.31 %","信用","0.00"
"ＫＨＣ","1451","東証","○","-","-","400","-","無","2.30","749","-5","-1.96 %","-","42","16,200","-1.96 %","信用","0.00"
"ダイワ－２２５インバース","1456","東証","○","-","-","12","-","無","0.00","0","0","-","-","0","0","-","貸借","0.00"
"楽天２２５ダブルブル","1458","東証","○","-","-","1,657","-","無","0.00","10,200","-100","-0.48 %","-","860","127,937","-2.94 %","貸借","0.00"
"楽天２２５ダブルベア","1459","東証","○","-","-","3,234","-","無","0.00","4,550","45","0.33 %","-","928","323,389","-0.76 %","貸借","0.00"
"大和Ｊ４００ダブルブル","1464","東証","○","-","-","2","-","無","0.00","8,960","-160","-0.44 %","-","2","17","-3.13 %","貸借","0.00"
"大和Ｊ４００ダブルベア","1466","東証","○","-","-","4","-","無","0.00","5,210","100","2.35 %","-","7","202","0.00 %","貸借","0.00"
"ＪＰＸ日経４００ベア２倍","1469","東証","○","-","-","10","-","無","0.00","5,090","50","-0.39 %","-","5","230","-0.97 %","貸借","0.00"
"Ｉシェアーズ・コアＴＯＰＩＸ","1475","東証","○","-","-","992","-","無","0.00","1,577","-4","-0.06 %","-","116","99,168","-1.00 %","貸借","0.00"
"Ｉシェアーズ・コアＪリート","1476","東証","○","-","-","981","-","無","0.00","2,002","17","0.70 %","-","174","98,040","-0.14 %","貸借","0.00"
"ＩＳＭＳＣＩ最小分散","1477","東証","○","-","-","18","-","無","0.00","1,749","-4","-0.39 %","-","14","93","-0.96 %","貸借","0.00"
"ＩＳＭＳＣＩ高配当ＥＴＦ","1478","東証","○","-","-","27","-","無","0.00","1,808","-5","-0.33 %","-","63","1,097","-0.71 %","貸借","0.00"
"ＩＳ米国債７－１０ヘッジ","1482","東証","○","-","-","50","-","無","0.00","2,346","8","0.17 %","-","57","4,989","-0.38 %","貸借","0.00"
"上場米債ヘッジあり","1487","東証","○","-","-","5","-","無","0.00","18,450","50","-0.05 %","-","8","469","-0.21 %","貸借","5.00"
"ダイワ東証ＲＥＩＴ指数","1488","東証","○","-","-","320","-","無","0.00","1,996","13","0.55 %","-","40","10,660","-0.10 %","貸借","0.00"
"ＮＦ日経高配当株５０","1489","東証","○","-","-","8","-","無","0.00","32,450","-200","-0.61 %","-","37","781","-0.76 %","貸借","0.00"
"上場高配ベータヘッジ","1490","東証","○","-","-","60","-","無","0.00","0","0","-","-","0","0","-","貸借","0.00"
"中外鉱業","1491","東証","○","-","-","19,500","-","無","0.20","23","1","0.00 %","-","78","290,400","0.00 %","信用","0.00"
"ＭＸＳＪＰＸ中小型","1492","東証","○","-","-","1","-","無","0.00","12,920","-70","-0.53 %","-","4","5","-0.61 %","貸借","5.00"
"ＯＮＥ高配当日本株","1494","東証","○","-","-","1","-","無","0.00","16,720","-40","0.00 %","-","1","7","-0.59 %","貸借","0.00"
"上場アジアリート","1495","東証","○","-","-","10","-","無","0.00","11,580","-20","-0.25 %","-","17","430","-0.51 %","貸借","0.50"
"ＩＳ米＄ＩＧ社債ヘジ","1496","東証","○","-","-","47","-","無","0.00","2,480","10","0.36 %","-","42","4,662","-0.08 %","貸借","0.00"
"ＩＳ米＄ＨＹ社債ヘジ","1497","東証","○","-","-","19","-","無","0.00","2,425","2","-0.28 %","-","25","439","-0.32 %","貸借","0.00"
"住石ホールディングス","1514","東証","○","-","-","12,600","-","無","0.00","126","-1","-0.78 %","-","356","1,252,800","-2.32 %","貸借","0.00"
"日鉄鉱業","1515","東証","-","-","○","7,400","03/26","有","0.00","4,655","-5","0.32 %","-","48","9,100","-0.95 %","貸借","0.00"
"三井松島ＨＬＤＧＳ","1518","東証","○","-","○","4,100","03/26","有","0.00","1,270","-14","-1.85 %","-","259","57,200","-2.15 %","貸借","0.00"
"純金上場信託","1540","東証","○","-","-","2,487","-","無","0.00","4,690","70","0.10 %","-","688","248,657","-0.53 %","貸借","0.00"
"純プラチナ上場信託","1541","東証","○","-","-","206","-","無","0.00","2,673","-9","-0.66 %","-","261","20,530","-0.66 %","貸借","0.00"
"純銀上場信託","1542","東証","○","-","-","30","-","無","0.00","4,945","15","0.10 %","-","42","1,706","-0.10 %","貸借","0.00"
"純パラジウム上場信","1543","東証","○","-","-","2","-","無","0.00","49,000","400","0.00 %","-","31","170","-1.60 %","貸借","0.00"
"ＮＦＮＡＳＤＡＱ１００連動","1545","東証","○","-","-","100","-","無","0.00","8,380","-100","-0.71 %","-","73","9,910","-1.29 %","貸借","0.50"
"ＮＦダウ・ジョーンズ","1546","東証","○","-","-","36","-","無","0.00","28,510","-150","-0.59 %","-","153","1,702","-0.69 %","貸借","0.00"
"上場米国株式","1547","東証","○","-","-","200","-","無","0.00","3,410","-30","-0.29 %","-","46","19,400","-0.87 %","貸借","0.00"
"ＭＡＸＩＳ海外株式","1550","東証","○","-","-","30","-","無","0.00","2,359","-1","0.21 %","-","29","2,850","-0.16 %","貸借","0.50"
"ＪＡＳＤＡＱ－ＴＯＰ２０投信","1551","東証","○","-","-","10","-","無","0.00","3,740","-15","-1.57 %","-","15","610","-1.57 %","貸借","0.50"
"国際のＥＴＦＶＩＸ","1552","東証","○","-","-","1,261","-","無","0.00","9,120","140","0.88 %","-","885","83,414","-0.32 %","貸借","0.00"
"上場ＭＳ世界株","1554","東証","○","-","-","50","-","無","0.00","2,065","-15","-0.91 %","-","44","4,390","-0.95 %","貸借","0.00"
"上場豪州リート","1555","東証","○","-","-","30","-","無","0.00","1,660","10","0.54 %","-","50","1,720","-0.18 %","貸借","0.50"
