銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"日本水産","1332","東証","○","-","○","16,400","03/26","有","0.00","681","-9","-1.73 %","-","1,576","1,791,200","-2.29 %","貸借","0.00"
"マルハニチロ","1333","東証","○","-","○","5,900","03/26","有","0.00","3,160","0","0.00 %","-","609","223,500","-1.40 %","貸借","0.00"
"上場Ｊリート","1345","東証","○","-","○","12,300","-","無","0.00","1,975","12","0.76 %","-","207","34,900","-0.10 %","貸借","0.05"
"サカタのタネ","1377","東証","○","-","○","6,700","05/26","有","0.00","3,200","-50","-0.92 %","-","526","134,000","-2.88 %","貸借","0.00"
"ホクト","1379","東証","○","-","○","5,200","03/26","有","0.00","1,836","12","0.43 %","-","236","38,900","-0.37 %","貸借","0.00"
"日鉄鉱業","1515","東証","-","-","○","7,400","03/26","有","0.00","4,655","-5","0.32 %","-","48","9,100","-0.95 %","貸借","0.00"
"三井松島ＨＬＤＧＳ","1518","東証","○","-","○","4,100","03/26","有","0.00","1,270","-14","-1.85 %","-","259","57,200","-2.15 %","貸借","0.00"
"国際石油開発帝石","1605","東証","○","-","○","15,700","-","無","0.00","967.2","-25.9","-2.47 %","-","9,988","6,159,900","-4.04 %","貸借","0.00"
"石油資源開発","1662","東証","○","-","○","2,100","-","無","0.00","2,507","-7","-0.27 %","-","1,173","250,000","-1.87 %","貸借","0.05"
"Ｋ＆Ｏエナジーグループ","1663","東証","-","-","○","13,600","-","無","0.00","1,560","-14","-1.76 %","-","46","8,800","-3.82 %","貸借","0.05"
"安藤・間","1719","東証","○","-","○","7,600","-","無","0.00","728","-13","-0.13 %","-","1,380","712,600","-3.44 %","貸借","0.00"
"東急建設","1720","東証","○","-","○","9,200","-","無","0.00","723","-14","-1.89 %","-","719","323,600","-3.60 %","貸借","0.00"
"コムシスホールディングス","1721","東証","○","-","○","2,500","-","無","0.00","2,721","26","0.11 %","-","1,380","514,200","-1.12 %","貸借","0.00"
"高松コンストラクショングループ","1762","東証","-","-","○","20,200","03/26","有","0.00","2,180","-7","0.22 %","-","175","27,200","-2.72 %","貸借","0.00"
"大成建設","1801","東証","○","-","○","5,500","09/25","有","0.00","3,900","-45","-2.01 %","-","1,319","918,300","-3.10 %","貸借","0.00"
"大林組","1802","東証","○","-","○","19,000","-","無","0.00","1,052","-2","-1.40 %","-","1,973","1,947,600","-1.59 %","貸借","0.00"
"清水建設","1803","東証","○","-","○","23,000","03/26","有","0.00","897","-1","-3.13 %","-","3,557","4,767,900","-3.44 %","貸借","0.00"
"長谷工コーポレーシヨン","1808","東証","○","-","○","17,700","09/25","有","0.00","1,089","-12","-1.00 %","-","1,500","1,104,600","-2.76 %","貸借","0.00"
"松井建設","1810","東証","-","-","○","23,000","-","無","0.00","616","-2","-1.12 %","-","81","16,900","-2.53 %","貸借","0.00"
"鹿島建設","1812","東証","○","-","○","16,300","-","無","0.00","1,470","-16","-2.00 %","-","2,481","1,632,500","-2.51 %","貸借","0.00"
"不動テトラ","1813","東証","-","-","○","19,300","-","無","0.00","1,316","-2","-0.22 %","-","509","128,500","-5.39 %","貸借","0.00"
"鉄建建設","1815","東証","○","-","○","1,400","-","無","0.00","3,005","-20","-0.82 %","-","143","30,300","-1.15 %","貸借","0.00"
"西松建設","1820","東証","○","-","○","3,900","-","無","0.00","2,036","-20","-1.45 %","-","768","209,500","-3.27 %","貸借","0.00"
"三井住友建設","1821","東証","○","-","○","34,900","-","無","0.00","599","-15","-2.12 %","-","1,204","912,600","-2.91 %","貸借","0.00"
"大豊建設","1822","東証","-","-","○","14,600","-","無","0.00","2,722","17","0.55 %","-","417","60,900","-1.66 %","貸借","0.00"
"前田建設","1824","東証","-","-","○","215,000","-","無","0.00","854","-2","-0.46 %","-","946","607,400","-1.15 %","貸借","0.00"
"奥村組","1833","東証","-","-","○","47,700","-","無","0.00","3,250","10","-0.76 %","-","640","208,300","-1.66 %","貸借","0.10"
"東鉄工業","1835","東証","-","-","○","31,400","-","無","0.00","2,939","0","-0.54 %","-","156","27,200","-2.52 %","貸借","0.00"
"イチケン","1847","東証","-","-","○","5,000","-","無","0.00","1,651","0","-0.06 %","-","31","4,400","-1.37 %","信用","0.00"
"戸田建設","1860","東証","○","-","○","5,200","09/25","有","0.00","583","-12","-2.01 %","-","1,081","790,500","-2.83 %","貸借","0.00"
"熊谷組","1861","東証","○","-","○","7,200","-","無","0.00","3,065","10","0.00 %","-","447","130,000","-1.28 %","貸借","0.00"
"北野建設","1866","東証","-","-","○","5,600","-","無","0.00","2,606","-4","0.30 %","-","18","2,800","-1.88 %","貸借","0.00"
"矢作建設","1870","東証","-","-","○","33,800","-","無","0.00","716","-2","-1.37 %","-","72","23,900","-2.71 %","貸借","0.00"
"大東建託","1878","東証","○","-","○","1,200","09/25","有","0.00","13,645","-155","-0.43 %","-","1,410","275,500","-3.53 %","貸借","0.25"
"新日本建設","1879","東証","-","-","○","31,100","-","無","0.00","882","-37","-3.60 %","-","200","40,300","-4.44 %","貸借","0.00"
"ＮＩＰＰＯ","1881","東証","-","-","○","71,000","-","無","0.00","2,103","-18","0.00 %","-","563","97,800","-1.31 %","貸借","0.00"
"東亜道路","1882","東証","-","-","○","4,900","-","無","0.00","3,160","-35","-0.62 %","-","104","20,200","-2.16 %","貸借","0.00"
"前田道路","1883","東証","-","-","○","91,900","-","無","0.00","2,230","-12","-1.41 %","-","1,039","268,800","-2.36 %","貸借","0.05"
